proyecto_idproyecto,id_visita,id_partida,id_subpartida,proyecto_estado,proyecto_monto,catalogo_tipo_id_tipo,id_cliente,m2c,proyecto_duracion,porcentaje_real,porcentaje_programado,duplicado,diferencia,SinceridadAcumuladaTopadaMetodo3,SinceridadGeneralProyecto
1007,1,2,2,11,5841536.0,4,1,6332.05,6,90.0,25.0,0,65.0,1.0,1.0
1007,1,2,3,11,5841536.0,4,1,6332.05,6,85.0,0.0,0,85.0,1.0,1.0
1007,1,2,4,11,5841536.0,4,1,6332.05,6,85.0,0.0,0,85.0,1.0,1.0
1007,1,2,5,11,5841536.0,4,1,6332.05,6,95.0,0.0,0,95.0,1.0,1.0
1007,1,2,6,11,5841536.0,4,1,6332.05,6,95.0,0.0,0,95.0,1.0,1.0
1007,1,2,7,11,5841536.0,4,1,6332.05,6,98.0,0.0,0,98.0,1.0,1.0
1007,1,2,8,11,5841536.0,4,1,6332.05,6,95.0,0.0,0,95.0,1.0,1.0
1007,1,2,9,11,5841536.0,4,1,6332.05,6,98.0,0.0,0,98.0,1.0,1.0
1007,1,2,10,11,5841536.0,4,1,6332.05,6,92.0,0.0,0,92.0,1.0,1.0
1007,1,2,11,11,5841536.0,4,1,6332.05,6,92.0,0.0,0,92.0,1.0,1.0
1007,1,2,12,11,5841536.0,4,1,6332.05,6,95.0,0.0,0,95.0,1.0,1.0
1007,1,2,15,11,5841536.0,4,1,6332.05,6,95.0,0.0,0,95.0,1.0,1.0
1007,2,2,1,11,5841536.0,4,1,6332.05,6,100.0,66.6804953,0,33.3195047,1.0,1.0
1007,2,2,2,11,5841536.0,4,1,6332.05,6,99.5,25.0,0,74.5,1.0,1.0
1007,2,2,3,11,5841536.0,4,1,6332.05,6,99.0,25.0050147,0,73.9949853,1.0,1.0
1007,2,2,4,11,5841536.0,4,1,6332.05,6,99.0,0.0,0,99.0,1.0,1.0
1007,2,2,5,11,5841536.0,4,1,6332.05,6,100.0,0.0,0,100.0,1.0,1.0
1007,2,2,6,11,5841536.0,4,1,6332.05,6,100.0,0.0,0,100.0,1.0,1.0
1007,2,2,7,11,5841536.0,4,1,6332.05,6,100.0,0.0,0,100.0,1.0,1.0
1007,2,2,8,11,5841536.0,4,1,6332.05,6,99.0,0.0,0,99.0,1.0,1.0
1007,2,2,9,11,5841536.0,4,1,6332.05,6,100.0,0.0,0,100.0,1.0,1.0
1007,2,2,10,11,5841536.0,4,1,6332.05,6,99.0,0.0,0,99.0,1.0,1.0
1007,2,2,11,11,5841536.0,4,1,6332.05,6,100.0,0.0,0,100.0,1.0,1.0
1007,2,2,12,11,5841536.0,4,1,6332.05,6,100.0,0.0,0,100.0,1.0,1.0
1007,2,2,13,11,5841536.0,4,1,6332.05,6,100.0,0.0,0,100.0,1.0,1.0
1007,2,2,14,11,5841536.0,4,1,6332.05,6,100.0,0.0,0,100.0,1.0,1.0
1007,2,2,15,11,5841536.0,4,1,6332.05,6,100.0,0.0,0,100.0,1.0,1.0
1007,3,2,1,11,5841536.0,4,1,6332.05,6,100.0,100.0,0,0.0,1.0,1.0
1007,3,2,2,11,5841536.0,4,1,6332.05,6,100.0,100.0,0,0.0,1.0,1.0
1007,3,2,3,11,5841536.0,4,1,6332.05,6,100.0,100.0,0,0.0,1.0,1.0
1007,3,2,4,11,5841536.0,4,1,6332.05,6,100.0,100.0,0,0.0,1.0,1.0
1007,3,2,5,11,5841536.0,4,1,6332.05,6,100.0,100.0,0,0.0,1.0,1.0
1007,3,2,6,11,5841536.0,4,1,6332.05,6,100.0,100.0,0,0.0,1.0,1.0
1007,3,2,7,11,5841536.0,4,1,6332.05,6,100.0,100.0,0,0.0,1.0,1.0
1007,3,2,8,11,5841536.0,4,1,6332.05,6,100.0,100.0,0,0.0,1.0,1.0
1007,3,2,9,11,5841536.0,4,1,6332.05,6,100.0,100.0,0,0.0,1.0,1.0
1007,3,2,10,11,5841536.0,4,1,6332.05,6,100.0,100.0,0,0.0,1.0,1.0
1007,3,2,11,11,5841536.0,4,1,6332.05,6,100.0,100.0,0,0.0,1.0,1.0
1007,3,2,12,11,5841536.0,4,1,6332.05,6,100.0,100.0,0,0.0,1.0,1.0
1007,3,2,13,11,5841536.0,4,1,6332.05,6,100.0,100.0,0,0.0,1.0,1.0
1007,3,2,14,11,5841536.0,4,1,6332.05,6,100.0,100.0,0,0.0,1.0,1.0
